true_predicted	normal_normal	normal_tumor	tumor_normal	tumor_tumor	repetition	fold
0	26	0	0	178	0	0
1	0	26	0	178	0	1
2	25	1	2	176	0	2
3	25	1	0	178	0	3
4	25	0	1	176	0	4
5	24	2	0	178	1	0
6	26	0	0	178	1	1
7	26	0	0	178	1	2
8	18	8	0	178	1	3
9	21	4	0	177	1	4
10	22	4	0	178	2	0
11	25	1	0	178	2	1
12	26	0	0	178	2	2
13	25	1	0	178	2	3
14	22	3	0	177	2	4
15	26	0	1	177	3	0
16	24	2	0	178	3	1
17	25	1	0	178	3	2
18	26	0	0	178	3	3
19	25	0	0	177	3	4
20	23	3	0	178	4	0
21	25	1	1	177	4	1
22	26	0	0	178	4	2
23	25	1	0	178	4	3
24	15	10	0	177	4	4
