true_predicted	tp	fn	fp	tn	repetition	fold
0	20	6	0	178	0	0
0	24	2	1	177	0	1
0	24	2	0	178	0	2
0	24	2	3	175	0	3
0	20	5	0	177	0	4
0	24	2	1	177	1	0
0	23	3	0	178	1	1
0	25	1	0	178	1	2
0	23	3	3	175	1	3
0	23	2	0	177	1	4
0	22	4	1	177	2	0
0	19	7	0	178	2	1
0	24	2	1	177	2	2
0	25	1	0	178	2	3
0	24	1	3	174	2	4
0	18	8	1	177	3	0
0	21	5	0	178	3	1
0	26	0	0	178	3	2
0	24	2	1	177	3	3
0	24	1	0	177	3	4
0	23	3	2	176	4	0
0	26	0	0	178	4	1
0	22	4	1	177	4	2
0	25	1	0	178	4	3
0	19	6	0	177	4	4
