accuracy	f1-score	precision	recall	split	experiment
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	0	0
0.9836065573770492	0.92	0.8518518518518519	1.0	1	0
0.9918032786885246	0.9583333333333334	0.92	1.0	2	0
0.9959016393442623	0.9777777777777777	1.0	0.9565217391304348	3	0
0.9917355371900827	0.9565217391304348	0.9166666666666666	1.0	4	0
0.9836065573770492	0.92	0.8518518518518519	1.0	0	1
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	1	1
0.9918032786885246	0.9583333333333334	0.92	1.0	2	1
0.9959016393442623	0.9777777777777777	1.0	0.9565217391304348	3	1
0.9834710743801653	0.9166666666666666	0.8461538461538461	1.0	4	1
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	0	2
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	1	2
0.9877049180327869	0.9361702127659574	0.9166666666666666	0.9565217391304348	2	2
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	3	2
0.987603305785124	0.9333333333333332	0.9130434782608695	0.9545454545454546	4	2
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	0	3
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	1	3
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	2	3
0.9959016393442623	0.9777777777777777	1.0	0.9565217391304348	3	3
0.9834710743801653	0.9090909090909091	0.9090909090909091	0.9090909090909091	4	3
1.0	1.0	1.0	1.0	0	4
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	1	4
0.9918032786885246	0.9583333333333334	0.92	1.0	2	4
1.0	1.0	1.0	1.0	3	4
0.9793388429752066	0.8837209302325582	0.9047619047619048	0.8636363636363636	4	4
0.9959016393442623	0.9777777777777777	1.0	0.9565217391304348	0	5
0.9754098360655737	0.8846153846153846	0.7931034482758621	1.0	1	5
0.9918032786885246	0.9583333333333334	0.92	1.0	2	5
0.9918032786885246	0.9545454545454545	1.0	0.9130434782608695	3	5
0.987603305785124	0.9333333333333332	0.9130434782608695	0.9545454545454546	4	5
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	0	6
0.9918032786885246	0.9583333333333334	0.92	1.0	1	6
0.9918032786885246	0.9583333333333334	0.92	1.0	2	6
1.0	1.0	1.0	1.0	3	6
0.9917355371900827	0.9565217391304348	0.9166666666666666	1.0	4	6
0.9918032786885246	0.9565217391304348	0.9565217391304348	0.9565217391304348	0	7
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	1	7
0.9918032786885246	0.9565217391304348	0.9565217391304348	0.9565217391304348	2	7
0.9877049180327869	0.9302325581395349	1.0	0.8695652173913043	3	7
0.9752066115702479	0.8695652173913043	0.8333333333333334	0.9090909090909091	4	7
1.0	1.0	1.0	1.0	0	8
0.9877049180327869	0.9387755102040816	0.8846153846153846	1.0	1	8
0.9959016393442623	0.9787234042553191	0.9583333333333334	1.0	2	8
0.9959016393442623	0.9777777777777777	1.0	0.9565217391304348	3	8
0.9834710743801653	0.9130434782608695	0.875	0.9545454545454546	4	8
