true_predicted	tp	fn	fp	tn	repetition	fold
0	0	4	0	82	0	0
1	0	4	0	82	0	1
2	0	4	0	81	0	2
3	0	4	0	81	0	3
4	0	3	0	81	0	4
5	0	4	0	82	1	0
6	0	4	0	82	1	1
7	0	4	0	81	1	2
8	0	4	0	81	1	3
9	0	3	0	81	1	4
10	0	4	0	82	2	0
11	0	4	0	82	2	1
12	0	4	0	81	2	2
13	0	4	0	81	2	3
14	0	3	0	81	2	4
15	0	4	0	82	3	0
16	0	4	0	82	3	1
17	0	4	0	81	3	2
18	0	4	0	81	3	3
19	0	3	0	81	3	4
20	0	4	0	82	4	0
21	0	4	0	82	4	1
22	0	4	0	81	4	2
23	0	4	0	81	4	3
24	0	3	0	81	4	4
