true_predicted	tp	fn	fp	tn	repetition	fold
0	4	0	0	82	0	0
1	4	0	2	80	0	1
2	4	0	1	80	0	2
3	1	3	0	81	0	3
4	3	0	0	81	0	4
5	4	0	0	82	1	0
6	3	1	1	81	1	1
7	4	0	0	81	1	2
8	4	0	0	81	1	3
9	2	1	1	80	1	4
10	3	1	1	81	2	0
11	4	0	0	82	2	1
12	3	1	2	79	2	2
13	2	2	0	81	2	3
14	3	0	0	81	2	4
15	1	3	1	81	3	0
16	1	3	0	82	3	1
17	3	1	1	80	3	2
18	4	0	1	80	3	3
19	3	0	1	80	3	4
20	3	1	1	81	4	0
21	4	0	1	81	4	1
22	4	0	0	81	4	2
23	3	1	0	81	4	3
24	3	0	1	80	4	4
