true_predicted	tp	fn	fp	tn	repetition	fold
0	4	0	0	82	0	0
1	2	2	0	82	0	1
2	3	1	0	81	0	2
3	1	3	0	81	0	3
4	1	2	0	81	0	4
5	1	3	0	82	1	0
6	2	2	0	82	1	1
7	4	0	0	81	1	2
8	3	1	0	81	1	3
9	1	2	0	81	1	4
10	2	2	1	81	2	0
11	3	1	0	82	2	1
12	3	1	0	81	2	2
13	3	1	0	81	2	3
14	2	1	0	81	2	4
15	2	2	0	82	3	0
16	2	2	0	82	3	1
17	3	1	1	80	3	2
18	3	1	0	81	3	3
19	3	0	0	81	3	4
20	3	1	0	82	4	0
21	3	1	0	82	4	1
22	2	2	0	81	4	2
23	2	2	0	81	4	3
24	3	0	0	81	4	4
