true_predicted	tp	fn	fp	tn	repetition	fold
0	3	1	1	81	0	0
0	3	1	0	82	0	1
0	3	1	0	81	0	2
0	1	3	0	81	0	3
0	2	1	0	81	0	4
0	2	2	0	82	1	0
0	1	3	0	82	1	1
0	2	2	0	81	1	2
0	3	1	1	80	1	3
0	3	0	0	81	1	4
0	2	2	0	82	2	0
0	4	0	0	82	2	1
0	4	0	1	80	2	2
0	4	0	2	79	2	3
0	1	2	0	81	2	4
0	3	1	0	82	3	0
0	1	3	1	81	3	1
0	4	0	0	81	3	2
0	1	3	0	81	3	3
0	3	0	0	81	3	4
0	0	4	0	82	4	0
0	3	1	1	81	4	1
0	1	3	0	81	4	2
0	2	2	0	81	4	3
0	0	3	0	81	4	4
