true_predicted	normal_normal	normal_tumor	tumor_normal	tumor_tumor	repetition	fold
0	23	0	0	220	0	0
1	23	0	2	218	0	1
2	23	0	0	219	0	2
3	23	0	0	219	0	3
4	22	0	1	218	0	4
5	23	0	1	219	1	0
6	23	0	0	220	1	1
7	23	0	0	219	1	2
8	22	1	3	216	1	3
9	22	0	1	218	1	4
10	23	0	0	220	2	0
11	23	0	1	219	2	1
12	23	0	0	219	2	2
13	23	0	1	218	2	3
14	22	0	2	217	2	4
15	23	0	0	220	3	0
16	23	0	1	219	3	1
17	22	1	0	219	3	2
18	23	0	1	218	3	3
19	22	0	1	218	3	4
20	23	0	0	220	4	0
21	23	0	1	219	4	1
22	23	0	0	219	4	2
23	22	1	1	218	4	3
24	22	0	1	218	4	4
