true_predicted	normal_normal	normal_tumor	tumor_normal	tumor_tumor	repetition	fold
0	22	0	0	204	0	0
1	22	0	4	199	0	1
2	22	0	3	200	0	2
3	22	0	7	196	0	3
4	22	0	2	201	0	4
5	22	0	0	204	1	0
6	22	0	4	199	1	1
7	22	0	5	198	1	2
8	22	0	3	200	1	3
9	22	0	1	202	1	4
10	22	0	1	203	2	0
11	22	0	3	200	2	1
12	22	0	3	200	2	2
13	22	0	2	201	2	3
14	22	0	6	197	2	4
15	22	0	1	203	3	0
16	22	0	2	201	3	1
17	22	0	5	198	3	2
18	22	0	4	199	3	3
19	22	0	0	203	3	4
20	22	0	2	202	4	0
21	22	0	3	200	4	1
22	22	0	4	199	4	2
23	22	0	3	200	4	3
24	22	0	2	201	4	4
