true_predicted	normal_normal	normal_tumor	tumor_normal	tumor_tumor	repetition	fold
0	19	3	0	204	0	0
1	22	0	1	202	0	1
2	20	2	0	203	0	2
3	22	0	0	203	0	3
4	22	0	1	202	0	4
5	22	0	0	204	1	0
6	21	1	2	201	1	1
7	22	0	5	198	1	2
8	22	0	2	201	1	3
9	22	0	0	203	1	4
10	0	22	0	204	2	0
11	22	0	2	201	2	1
12	19	3	0	203	2	2
13	19	3	0	203	2	3
14	21	1	1	202	2	4
15	22	0	0	204	3	0
16	22	0	1	202	3	1
17	21	1	1	202	3	2
18	21	1	0	203	3	3
19	20	2	0	203	3	4
20	22	0	0	204	4	0
21	22	0	2	201	4	1
22	21	1	1	202	4	2
23	0	22	0	203	4	3
24	22	0	0	203	4	4
